id,type1,type2,,cat_id,seller_id,cat1
288,Product,Rreflection- Dresses,,Women,3673,"Kurtas & Suits, Kurtis, Tunics & Tops"
289,Product,"Rreflection- Kurtis, Tunics & Tops",,Women,3673,"Dresses, Tops"
290,Product,Rreflection- Kurtas & Suits,,Women,3673,Co-ords
293,Product,Rreflection- Random Products,,Women,3673,"Kurtas & Suits, Kurtis, Tunics & Tops, Dresses, Tops, Co-ords"
295,Product,Rreflection- Offer 1,,Women,3673,"Kurtas & Suits, Kurtis, Tunics & Tops, Dresses, Tops, Co-ords"
296,Product,Rreflection- Offer 2,,Women,3673,"Kurtas & Suits, Kurtis, Tunics & Tops, Dresses, Tops, Co-ords"
297,Product,Rreflection- Offer 3,,Women,3673,"Kurtas & Suits, Kurtis, Tunics & Tops, Dresses, Tops, Co-ords"
298,Product,Rreflection- Offer 4,,Women,3673,"Kurtas & Suits, Kurtis, Tunics & Tops, Dresses, Tops, Co-ords"
299,Product,SIMKRAFTZ- ALL PRODUCTS,,Women,3548,"Sarees, Pooja Essentials, Jewellery & Hair Accessories"
300,Product,SIMLRAFTZ- INDIAN WEAR,,Women,3548,Sarees
301,Product,SIMKRAFTZ- HOMEDECOR,,Women,3548,Pooja Essentials
302,Product,SIMKRAFTZ- BAGS & BACKPACKS,,Women,3548,Jewellery & Hair Accessories
303,Product,SIMKRAFTZ- RANDOM PRODUCT,,Women,3548,"Sarees, Pooja Essentials, Jewellery & Hair Accessories"
304,Product,SIMKRAFTZ- OFFER 1 ,,Women,3548,"Sarees, Pooja Essentials, Jewellery & Hair Accessories"
305,Product,SIMKARFTZ OFFER 2,,Women,3548,"Sarees, Pooja Essentials, Jewellery & Hair Accessories"
306,Product,SIMKRAFTZ OFFER 3,,Women,3548,"Sarees, Pooja Essentials, Jewellery & Hair Accessories"
307,Product,SIMKRAFTZ- OFFER 4,,Women,3548,"Sarees, Pooja Essentials, Jewellery & Hair Accessories"
